name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
广东,192.40 ,244.90 ,255.91 ,260.40 ,262.61 ,288.70 ,286.52 ,289.10 ,284.70 ,275.80 ,299.91 ,280.50 ,285.00 ,285.00 ,250.00 ,300.00 ,289.20 ,285.71 ,282.60 ,300.00 ,322.58 ,344.09 ,322.58 ,329.67 ,329.66 ,319.25 ,357.14 
广西,112.70 ,120.60 ,113.64 ,129.63 ,131.00 ,150.50 ,137.30 ,131.70 ,138.50 ,149.70 ,140.63 ,141.50 ,162.40 ,168.22 ,155.70 ,153.40 ,135.14 ,150.00 ,135.71 ,141.90 ,133.33 ,145.25 ,139.86 ,172.89 ,164.06 ,165.47 ,166.67 
海南,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,,,,259.70 ,,230.81 ,238.23 ,199.02 ,217.30 ,218.00 ,240.11 ,259.70 ,279.50 ,281.20 ,289.02 ,305.80 ,308.02 ,307.24 ,305.12 ,306.34 ,306.63 ,313.20 ,309.91 ,327.91 ,328.31 ,324.58 ,328.93 
四川,312.83 ,300.10 ,305.00 ,313.42 ,304.60 ,334.94 ,322.40 ,298.64 ,331.54 ,299.41 ,315.12 ,323.21 ,331.10 ,338.60 ,344.67 ,343.02 ,331.80 ,331.40 ,337.92 ,346.22 ,354.10 ,346.46 ,361.49 ,380.97 ,379.50 ,385.50 ,389.45 
贵州,192.10 ,248.80 ,170.70 ,191.81 ,178.20 ,180.90 ,180.20 ,180.50 ,182.41 ,168.50 ,174.60 ,157.30 ,179.00 ,177.80 ,185.04 ,197.20 ,163.13 ,169.33 ,95.22 ,195.60 ,201.69 ,204.58 ,244.53 ,247.99 ,247.18 ,264.11 ,234.29 
云南,215.30 ,221.00 ,199.24 ,219.92 ,220.82 ,236.60 ,214.10 ,218.51 ,236.10 ,215.20 ,222.00 ,219.20 ,224.00 ,200.74 ,213.98 ,213.71 ,195.41 ,213.50 ,107.20 ,225.80 ,199.68 ,184.17 ,192.45 ,209.38 ,207.76 ,214.39 ,219.00 
西藏,449.90 ,454.40 ,463.80 ,479.30 ,477.90 ,525.00 ,528.30 ,570.30 ,592.00 ,605.30 ,621.50 ,645.10 ,633.00 ,608.30 ,639.50 ,657.40 ,689.70 ,667.90 ,654.00 ,662.40 ,651.20 ,636.70 ,642.60 ,643.70 ,630.70 ,557.63 ,613.30 
陕西,252.00 ,310.50 ,248.50 ,256.50 ,253.91 ,351.10 ,313.10 ,255.12 ,272.31 ,285.51 ,298.74 ,320.70 ,356.00 ,331.20 ,336.50 ,313.70 ,343.42 ,334.30 ,351.50 ,361.50 ,386.22 ,356.05 ,385.31 ,421.98 ,411.08 ,421.96 ,414.90 
甘肃,235.92 ,267.30 ,232.03 ,187.30 ,259.54 ,248.70 ,311.73 ,262.00 ,223.20 ,263.44 ,289.01 ,283.42 ,291.72 ,264.62 ,272.00 ,241.74 ,296.73 ,270.90 ,285.23 ,287.30 ,333.96 ,290.63 ,342.71 ,353.55 ,351.25 ,351.90 ,361.68 
青海,339.70 ,352.13 ,334.63 ,337.40 ,364.04 ,366.80 ,377.24 ,324.62 ,265.10 ,328.43 ,317.20 ,343.93 ,363.11 ,406.20 ,391.56 ,398.60 ,402.60 ,374.92 ,369.30 ,376.10 ,373.55 ,376.86 ,393.54 ,386.80 ,383.21 ,376.52 ,382.08 
宁夏,230.40 ,275.80 ,238.21 ,234.11 ,274.93 ,263.30 ,296.10 ,292.40 ,254.60 ,279.32 ,259.20 ,236.81 ,288.21 ,287.71 ,332.98 ,263.60 ,313.60 ,336.70 ,332.70 ,311.60 ,346.70 ,311.20 ,318.10 ,323.70 ,323.90 ,307.15 ,323.35 
新疆,371.50 ,385.60 ,386.40 ,413.51 ,439.54 ,430.10 ,472.30 ,485.00 ,483.80 ,502.70 ,515.40 ,520.20 ,513.90 ,537.50 ,551.40 ,566.60 ,552.52 ,546.90 ,556.70 ,534.93 ,533.32 ,537.10 ,562.24 ,563.41 ,560.79 ,543.63 ,554.44 
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,
