name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,,,
重庆,,120.10 ,122.80 ,126.90 ,,120.50 ,127.82 ,114.20 ,130.52 ,130.50 ,148.60 ,161.20 ,178.30 ,169.83 ,175.70 ,171.50 ,176.80 ,178.25 ,178.40 ,179.10 ,184.35 ,186.01 ,189.03 ,192.70 ,195.22 ,194.20 ,194.30 ,,,
四川,153.00 ,143.90 ,155.31 ,163.40 ,149.63 ,163.82 ,169.44 ,158.70 ,177.00 ,171.40 ,187.20 ,193.50 ,202.60 ,206.50 ,211.90 ,204.10 ,213.74 ,213.45 ,216.64 ,222.32 ,226.31 ,224.49 ,229.30 ,232.15 ,237.39 ,238.80 ,239.81 ,,,
贵州,127.10 ,110.10 ,117.24 ,131.50 ,123.03 ,131.20 ,136.70 ,135.74 ,143.51 ,142.50 ,141.84 ,141.83 ,153.30 ,151.60 ,158.00 ,160.84 ,146.30 ,150.80 ,107.72 ,146.85 ,157.31 ,161.39 ,166.20 ,168.58 ,170.29 ,170.55 ,173.24 ,,,
云南,155.80 ,125.54 ,120.00 ,149.00 ,138.20 ,140.92 ,134.20 ,145.42 ,151.70 ,160.81 ,167.50 ,171.10 ,177.40 ,171.60 ,186.44 ,186.24 ,164.34 ,163.30 ,96.32 ,189.97 ,190.25 ,171.86 ,185.47 ,191.23 ,200.17 ,204.71 ,205.04 ,,,
西藏,155.10 ,214.70 ,181.40 ,182.10 ,191.90 ,194.40 ,200.60 ,240.80 ,245.60 ,259.20 ,240.90 ,228.50 ,222.00 ,234.80 ,226.60 ,226.00 ,243.20 ,282.40 ,242.40 ,264.50 ,263.90 ,258.10 ,260.40 ,269.00 ,274.60 ,303.34 ,259.46 ,,,
陕西,136.60 ,166.50 ,119.30 ,149.90 ,113.30 ,160.80 ,128.50 ,109.20 ,136.80 ,137.90 ,148.00 ,163.10 ,170.00 ,169.70 ,169.90 ,165.00 ,187.50 ,183.00 ,184.50 ,189.00 ,198.00 ,193.50 ,204.00 ,211.50 ,208.50 ,212.97 ,209.86 ,,,
甘肃,144.00 ,152.64 ,155.30 ,126.02 ,149.41 ,145.92 ,165.52 ,155.20 ,160.31 ,128.41 ,148.51 ,146.60 ,160.20 ,169.30 ,164.50 ,161.20 ,176.20 ,175.31 ,181.60 ,179.39 ,193.84 ,195.03 ,205.82 ,210.20 ,210.93 ,220.50 ,203.11 ,,,
青海,120.80 ,117.90 ,129.40 ,109.30 ,126.50 ,134.30 ,143.80 ,149.61 ,102.90 ,138.22 ,152.90 ,172.30 ,179.20 ,197.63 ,167.42 ,186.82 ,205.00 ,212.60 ,194.80 ,199.86 ,215.84 ,207.01 ,209.51 ,211.55 ,211.21 ,188.88 ,192.99 ,,,
宁夏,,,,,,235.63 ,106.32 ,89.70 ,82.90 ,82.40 ,101.62 ,156.90 ,105.00 ,131.30 ,190.00 ,112.70 ,160.00 ,141.54 ,178.20 ,214.29 ,237.97 ,251.61 ,269.52 ,249.47 ,227.86 ,218.44 ,245.00 ,,,
新疆,128.83 ,128.50 ,126.80 ,116.20 ,119.10 ,126.61 ,146.50 ,152.10 ,156.00 ,167.40 ,184.30 ,207.11 ,180.20 ,153.90 ,197.62 ,148.90 ,127.60 ,204.30 ,215.82 ,235.44 ,187.72 ,258.20 ,212.42 ,247.12 ,276.69 ,293.25 ,279.33 ,,,
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
