name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,
海南,132.00 ,139.50 ,490.00 ,159.33 ,167.00 ,171.20 ,180.80 ,190.00 ,194.90 ,198.00 ,197.70 ,204.20 ,200.62 ,201.90 ,216.91 ,217.30 ,222.05 ,232.30 ,242.00 ,252.53 ,267.73 ,273.51 ,290.81 ,284.75 ,283.77 ,278.06 ,271.77 ,
重庆,,,143.30 ,151.20 ,,148.30 ,161.70 ,170.30 ,179.20 ,158.10 ,174.00 ,178.02 ,182.60 ,178.60 ,129.20 ,174.90 ,171.70 ,172.80 ,183.64 ,200.72 ,194.20 ,205.80 ,205.72 ,209.80 ,211.74 ,216.10 ,216.30 ,
四川,182.10 ,181.60 ,134.02 ,162.90 ,175.90 ,186.80 ,200.10 ,213.50 ,226.60 ,177.90 ,209.90 ,221.81 ,227.74 ,234.90 ,180.50 ,214.30 ,230.30 ,234.52 ,237.32 ,242.64 ,247.43 ,251.63 ,255.26 ,257.91 ,248.96 ,252.73 ,256.83 ,
贵州,110.90 ,143.90 ,161.73 ,150.10 ,154.24 ,163.40 ,166.90 ,167.31 ,168.23 ,157.74 ,170.10 ,172.91 ,186.61 ,169.41 ,169.20 ,194.00 ,192.33 ,188.70 ,188.20 ,155.92 ,191.52 ,189.42 ,198.58 ,204.62 ,211.51 ,218.62 ,220.72 ,
云南,97.11 ,105.44 ,117.72 ,119.40 ,119.62 ,112.82 ,121.40 ,124.10 ,130.10 ,132.94 ,132.90 ,130.00 ,135.40 ,133.90 ,135.30 ,139.24 ,146.04 ,145.70 ,143.02 ,144.78 ,153.66 ,161.71 ,162.48 ,165.88 ,165.87 ,166.27 ,169.58 ,
西藏,97.10 ,,165.00 ,,,,,202.20 ,152.80 ,246.70 ,316.70 ,333.33 ,166.70 ,256.30 ,154.20 ,137.10 ,230.60 ,179.90 ,245.00 ,239.04 ,201.81 ,192.38 ,281.25 ,270.39 ,309.20 ,312.88 ,293.99 ,
陕西,191.90 ,231.00 ,170.81 ,183.00 ,212.00 ,165.40 ,219.90 ,210.30 ,219.20 ,229.70 ,236.70 ,234.00 ,256.30 ,256.30 ,261.50 ,252.00 ,252.00 ,311.90 ,287.90 ,289.40 ,296.80 ,293.90 ,298.50 ,298.60 ,315.00 ,315.82 ,316.04 ,
甘肃,273.50 ,360.33 ,254.90 ,214.44 ,446.90 ,146.92 ,178.10 ,111.70 ,170.40 ,149.30 ,146.53 ,172.60 ,189.13 ,172.24 ,195.71 ,148.10 ,290.40 ,234.80 ,252.24 ,271.19 ,411.96 ,399.17 ,361.31 ,366.67 ,354.84 ,355.69 ,393.82 ,
青海,,,,,,,,,,,,,,,,,,,194.76 ,199.86 ,,,,,,,,
宁夏,,,,,,,,,,,352.00 ,,,,,100.00 ,201.30 ,,157.50 ,,180.88 ,179.37 ,,,,303.70 ,315.85 ,
新疆,280.60 ,361.30 ,230.00 ,256.73 ,196.10 ,444.20 ,396.73 ,373.52 ,424.63 ,346.60 ,325.72 ,186.00 ,265.80 ,241.13 ,299.63 ,295.30 ,407.20 ,398.60 ,435.00 ,376.78 ,489.49 ,566.09 ,456.42 ,595.27 ,556.23 ,513.69 ,444.94 ,
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,,
