name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,
云南,206.80 ,181.40 ,156.00 ,168.60 ,179.00 ,193.10 ,177.60 ,190.90 ,193.20 ,183.14 ,200.60 ,190.53 ,194.93 ,201.44 ,200.10 ,207.53 ,215.50 ,226.00 ,226.09 ,213.14 ,210.94 ,,,,,,,
西藏,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西,161.80 ,158.50 ,141.44 ,129.84 ,176.90 ,141.20 ,157.90 ,157.10 ,147.60 ,155.20 ,163.80 ,158.50 ,176.12 ,180.11 ,183.01 ,180.73 ,212.80 ,203.79 ,215.97 ,214.60 ,228.54 ,,,,,,,
甘肃,234.43 ,203.70 ,173.30 ,173.42 ,225.63 ,205.40 ,238.10 ,199.30 ,181.04 ,185.94 ,168.14 ,233.90 ,248.40 ,238.70 ,248.03 ,206.80 ,258.50 ,280.40 ,301.75 ,325.56 ,315.47 ,335.40 ,308.73 ,314.43 ,319.77 ,322.50 ,,
青海,122.00 ,228.80 ,415.00 ,90.00 ,77.80 ,87.80 ,80.80 ,210.00 ,298.33 ,186.00 ,407.00 ,540.00 ,484.30 ,488.70 ,478.00 ,588.13 ,390.00 ,973.68 ,439.41 ,950.00 ,770.59 ,,,,,,,
宁夏,207.50 ,,163.42 ,152.80 ,218.20 ,189.12 ,250.00 ,200.30 ,224.92 ,217.40 ,200.00 ,438.33 ,436.92 ,577.70 ,306.00 ,327.60 ,383.30 ,489.07 ,510.87 ,506.43 ,500.00 ,,,,,,,
新疆,258.70 ,268.83 ,245.00 ,276.90 ,209.60 ,178.90 ,168.00 ,176.81 ,193.80 ,196.00 ,220.70 ,302.54 ,181.70 ,152.30 ,140.00 ,128.50 ,239.60 ,176.12 ,155.00 ,,208.33 ,,,,,,,
台湾,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,,,,,,,,,,
