,1992年 ,1993年 ,  1994年 ,  1995年 ,1996年,1997年,  1998年 ,  1999年 ,  2000年 ,  2001年 ,  2002年 ,  2003年 ,  2004年 ,  2005年 ,  2006年,  2007年,  2008年,  2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016 年,2017 年
广东,0.54 ,0.53 ,0.51 ,0.55 ,0.57 ,0.59 ,0.60 ,0.63 ,0.58 ,0.55 ,0.55 ,0.55 ,0.53 ,0.52 ,0.52 ,0.54 ,0.52 ,0.54 ,0.54 ,0.57 ,0.58 ,0.55 ,0.58 ,0.58 ,0.58 ,0.58 
广西,0.50 ,0.51 ,0.44 ,0.52 ,0.52 ,0.52 ,0.53 ,0.54 ,0.53 ,0.51 ,0.51 ,0.51 ,0.48 ,0.50 ,0.51 ,0.52 ,0.52 ,0.54 ,0.54 ,0.52 ,0.56 ,0.56 ,0.59 ,0.57 ,0.58 ,0.57 
海南,0.39 ,0.38 ,0.39 ,0.41 ,0.40 ,0.43 ,0.42 ,0.43 ,0.41 ,0.43 ,0.40 ,0.42 ,0.44 ,0.37 ,0.45 ,0.46 ,0.46 ,0.46 ,0.43 ,0.46 ,0.48 ,0.48 ,0.52 ,0.51 ,0.52 ,0.50 
重庆,NA,NA,NA,NA,NA,0.68 ,0.65 ,0.67 ,0.69 ,0.62 ,0.65 ,0.66 ,0.68 ,0.70 ,0.51 ,0.75 ,0.79 ,0.75 ,0.76 ,0.72 ,0.72 ,0.73 ,0.73 ,0.74 ,0.74 ,0.74 
四川,0.69 ,0.67 ,0.65 ,0.70 ,0.72 ,0.76 ,0.76 ,0.78 ,0.77 ,0.68 ,0.72 ,0.72 ,0.74 ,0.72 ,0.64 ,0.70 ,0.74 ,0.75 ,0.75 ,0.76 ,0.77 ,0.78 ,0.77 ,0.78 ,0.78 ,0.79 
贵州,0.51 ,0.52 ,0.58 ,0.57 ,0.62 ,0.62 ,0.64 ,0.61 ,0.64 ,0.61 ,0.47 ,0.64 ,0.67 ,0.66 ,0.62 ,0.67 ,0.67 ,0.65 ,0.64 ,0.45 ,0.59 ,0.53 ,0.60 ,0.62 ,0.64 ,0.64 
云南,0.50 ,0.51 ,0.54 ,0.54 ,0.57 ,0.58 ,0.58 ,0.61 ,0.53 ,0.54 ,0.50 ,0.61 ,0.59 ,0.62 ,0.60 ,0.60 ,0.61 ,0.61 ,0.60 ,0.62 ,0.60 ,0.58 ,0.59 ,0.58 ,0.59 ,0.61 
西藏,0.36 ,0.36 ,0.44 ,0.50 ,NA,0.45 ,0.45 ,0.60 ,0.60 ,0.55 ,0.35 ,0.60 ,0.55 ,0.60 ,0.60 ,0.60 ,0.50 ,0.50 ,0.60 ,0.60 ,0.50 ,0.60 ,0.56 ,0.56 ,0.55 ,0.56 
陕西,0.62 ,0.53 ,0.45 ,0.46 ,0.67 ,0.61 ,0.63 ,0.56 ,0.65 ,0.65 ,0.62 ,0.54 ,0.60 ,0.61 ,0.59 ,0.63 ,0.67 ,0.66 ,0.67 ,0.70 ,0.71 ,0.74 ,0.74 ,0.75 ,0.75 ,0.76 
甘肃,0.61 ,0.56 ,0.83 ,0.78 ,0.75 ,0.71 ,0.69 ,0.79 ,0.86 ,0.93 ,0.89 ,0.75 ,0.80 ,0.80 ,0.75 ,0.64 ,0.69 ,0.68 ,0.71 ,NA,0.70 ,0.72 ,0.78 ,0.69 ,0.67 ,0.73 
青海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
宁夏,0.67 ,0.70 ,0.82 ,0.74 ,0.84 ,0.89 ,0.95 ,0.93 ,0.81 ,0.83 ,0.87 ,0.79 ,0.82 ,0.86 ,0.87 ,0.79 ,0.83 ,0.83 ,0.84 ,0.84 ,0.85 ,0.84 ,0.83 ,0.82 ,0.84 ,0.85 
新疆,0.56 ,0.48 ,0.63 ,0.64 ,0.66 ,0.67 ,0.81 ,0.57 ,0.77 ,0.77 ,0.79 ,0.75 ,0.59 ,0.78 ,0.87 ,0.88 ,0.58 ,0.67 ,0.88 ,0.86 ,0.86 ,0.89 ,1.15 ,0.98 ,0.86 ,0.88 
